opponent,total_matches,wins,losses,draws
"Gurevich,M",1,0,0,1
"Hambleton,A",1,0,0,1
"Kovalev,Vl",1,0,0,1
"Madsen,D",1,0,0,1
"Llobel Cortell,E",1,0,0,1
"Ljubojevic,L",1,0,0,1
"Ljubisavljevic,Z",1,0,0,1
"Livshits,G",1,0,0,1
"Liang,Awonder",1,0,0,1
"Lenic,L",1,0,0,1
"Leitao,R",1,0,0,1
"Abdumalik,Z",1,0,0,1
"Leer Salvesen,B",1,0,0,1
"Laznicka,V",1,0,0,1
"Lautier,J",1,0,0,1
"Lalith,B",1,0,0,1
LakeMonster,1,0,0,1
"Lahlum,H",1,0,0,1
"Kveinys,A",1,0,0,1
"Kryvoruchko,Y",1,0,0,1
"Krsnik Cohar,I",1,0,0,1
"Krivoborodov,E",1,0,0,1
"Maeder,Torsten",1,0,0,1
"Manfay,M",1,0,0,1
"Manne,P",1,0,0,1
"Mishra,Abhimanyu",1,0,0,1
"Muzychuk,A",1,0,0,1
"Movsziszian,K",1,0,0,1
"Moskow,E",1,0,0,1
"Moiseenko,A1",1,0,0,1
"Mohammad,Nubairshah Shaikh",1,0,0,1
"Moen,A",1,0,0,1
"Mitrabha,G",1,0,0,1
"Miton,K",1,0,0,1
"Miezis,N",1,0,0,1
"Manukian,Ar",1,0,0,1
"Miellet Bensan,Y",1,0,0,1
"Meshkovs,Nikita",1,0,0,1
"Mendonca,Leon Luke",1,0,0,1
"Mekhitarian,K",1,0,0,1
"Marx,Soeren",1,0,0,1
"Martyr,Reginald",1,0,0,1
"Martinovic,Sa",1,0,0,1
"Marin,M",1,0,0,1
"Kristjansson,S",1,0,0,1
"Kotsur,P",1,0,0,1
"Hansen,LB",1,0,0,1
"Kotronias,V",1,0,0,1
"Indrebo,Kyrre",1,0,0,1
"Ibraev,N",1,0,0,1
"Hracek,Z",1,0,0,1
"Hossain,Enam",1,0,0,1
"Holm,Kristian Stuvik",1,0,0,1
"Hobber,A",1,0,0,1
"Hjelm,N",1,0,0,1
"Hillarp Persson,T",1,0,0,1
"Hevia,A",1,0,0,1
"Hermansson,E",1,0,0,1
"Henriquez Villagra,C",1,0,0,1
"Heim,S",1,0,0,1
"Hassan,Sampath Santosh",1,0,0,1
"Hartveit,Emil",1,0,0,1
"Harsha,B",1,0,0,1
"Harestad,H",1,0,0,1
"Hansen,Vi",1,0,0,1
"Hansen,TR",1,0,0,1
"Hansen,Pa",1,0,0,1
"Iordachescu,V",1,0,0,1
"Isonzo,D",1,0,0,1
"Ivanisevic,I",1,0,0,1
"Karelina,Polina",1,0,0,1
"Korotylev,A",1,0,0,1
"Kobalia,M",1,0,0,1
"Kjartansson,D",1,0,0,1
"Kiik,K",1,0,0,1
"Kharlov,A",1,0,0,1
"Khalifman,A",1,0,0,1
"Kasparov,G",1,0,0,1
"Karttunen,M",1,0,0,1
"Kalinitschew,S",1,0,0,1
"Jangle,Hemang J",1,0,0,1
"Jumabayev,R",1,0,0,1
"Ju,Wenjun",1,0,0,1
"Jones,RS",1,0,0,1
"Johansson,P",1,0,0,1
"Johansen,SA",1,0,0,1
"Johansen,KR",1,0,0,1
"Johannessen,LE",1,0,0,1
"Janssen,R",1,0,0,1
"Zoler,D",1,0,0,1
